layer,bits,group_size,numel,mse,nmse,max_abs_error,mean_scale
model.layers.2.mlp.up_proj,4,128,3145728,8.153656381182373e-06,0.014556477586413057,0.037841796875,0.00971426721662283
model.layers.2.mlp.down_proj,4,128,3145728,9.275844301252315e-06,0.016524085065653456,0.04150390625,0.010236386209726334
model.layers.3.self_attn.q_proj,4,128,2097152,1.3489405318978243e-05,0.014853500673113309,0.0302734375,0.01178608275949955
model.layers.3.self_attn.k_proj,4,128,1048576,1.311357755184872e-05,0.015830555786853072,0.038818359375,0.011448130942881107
model.layers.3.self_attn.v_proj,4,128,1048576,1.3497779036697466e-05,0.014907978869559118,0.0269775390625,0.012414668686687946
model.layers.3.self_attn.o_proj,4,128,2097152,1.1133297448395751e-05,0.014261023743545138,0.020263671875,0.011159147135913372
model.layers.3.mlp.gate_proj,4,128,3145728,2.231837424915284e-05,0.014051478842455872,0.0341796875,0.01591517962515354
model.layers.3.mlp.up_proj,4,128,3145728,8.752228798888003e-06,0.014459524407423758,0.0213274285197258,0.010060307569801807
model.layers.3.mlp.down_proj,4,128,3145728,8.889660724283507e-06,0.015460750273364996,0.0280064158141613,0.010146569460630417
model.layers.4.self_attn.q_proj,4,128,2097152,1.2543629054562189e-05,0.014526181438285239,0.0379464328289032,0.011578545905649662
model.layers.4.self_attn.k_proj,4,128,1048576,1.1743821232812479e-05,0.014760799758334045,0.0265066958963871,0.011076698079705238
model.layers.4.self_attn.v_proj,4,128,1048576,1.2851826795667876e-05,0.014690960191438587,0.0142299123108387,0.012192797847092152
model.layers.4.self_attn.o_proj,4,128,2097152,1.0542646123212762e-05,0.014409025788250554,0.0257568359375,0.010855049826204777
model.layers.4.mlp.gate_proj,4,128,3145728,2.0214082420958828e-05,0.013855626981739009,0.0291748046875,0.015152926556766033
model.layers.4.mlp.up_proj,4,128,3145728,8.904002849400664e-06,0.014378951589954392,0.018798828125,0.010161113925278187
model.layers.4.mlp.down_proj,4,128,3145728,9.318689990323037e-06,0.015958386624134152,0.027099609375,0.01038051676005125
model.layers.5.self_attn.q_proj,4,128,2097152,1.3684822988579981e-05,0.014708385611144424,0.030412942171096802,0.012048172764480114
model.layers.5.self_attn.k_proj,4,128,1048576,1.1096654816356022e-05,0.014273414485818795,0.0288260318338871,0.011017324402928352
model.layers.5.self_attn.v_proj,4,128,1048576,1.1892629117937759e-05,0.015054315473942727,0.01463971845805645,0.011663359589874744
model.layers.5.self_attn.o_proj,4,128,2097152,1.000401061901357e-05,0.013905516389191621,0.04150390625,0.010498457588255405
model.layers.5.mlp.gate_proj,4,128,3145728,1.6629894768508773e-05,0.014034876813779419,0.040283203125,0.013733651489019394
model.layers.5.mlp.up_proj,4,128,3145728,9.902429762102353e-06,0.014386956998569218,0.0264892578125,0.010714816860854626
model.layers.5.mlp.down_proj,4,128,3145728,1.0234756094481176e-05,0.015748269555807676,0.029541015625,0.010861731134355068
model.layers.6.self_attn.q_proj,4,128,2097152,1.3306587788974866e-05,0.014628708875012494,0.0306222066283226,0.011332967318594456
model.layers.6.self_attn.k_proj,4,128,1048576,1.1608288332354277e-05,0.015257017900607805,0.03515625,0.010614286176860332
model.layers.6.self_attn.v_proj,4,128,1048576,1.1708044439728837e-05,0.01474860192054837,0.01177978515625,0.011604253202676773
model.layers.6.self_attn.o_proj,4,128,2097152,8.943248758441769e-06,0.01421959203730171,0.0255126953125,0.009966752491891384
model.layers.6.mlp.gate_proj,4,128,3145728,1.5711740464515362e-05,0.014010778632182398,0.0221121683716774,0.013348973356187344
model.layers.6.mlp.up_proj,4,128,3145728,9.83901736617554e-06,0.014344820273026745,0.02001953125,0.010687272995710373
model.layers.6.mlp.down_proj,4,128,3145728,9.982946115390709e-06,0.015785874606831285,0.0503627210855484,0.010726157575845718
model.layers.7.self_attn.q_proj,4,128,2097152,1.206920660479227e-05,0.014596096645959917,0.02783203125,0.011375382542610168
model.layers.7.self_attn.k_proj,4,128,1048576,9.904586477205157e-06,0.014349805017150497,0.0193219855427742,0.010419507510960102
model.layers.7.self_attn.v_proj,4,128,1048576,1.1366362741682678e-05,0.014823597237186438,0.0361328125,0.011451632715761662
model.layers.7.self_attn.o_proj,4,128,2097152,9.078354196390137e-06,0.014183627186849913,0.023716524243354797,0.010127080604434013
model.layers.7.mlp.gate_proj,4,128,3145728,1.57460284147722e-05,0.013879004187109793,0.0235595703125,0.013322346843779087
model.layers.7.mlp.up_proj,4,128,3145728,9.679475624579936e-06,0.014311387831445234,0.0205426886677742,0.010569572448730469
model.layers.7.mlp.down_proj,4,128,3145728,9.657672004929433e-06,0.015850869721728025,0.0398995578289032,0.010505872778594494
model.layers.8.self_attn.q_proj,4,128,2097152,1.3054104783805087e-05,0.014538473199732189,0.0239955335855484,0.011410464532673359
model.layers.8.self_attn.k_proj,4,128,1048576,1.1619846191024408e-05,0.015996652182978473,0.0475725457072258,0.010637091472744942
model.layers.8.self_attn.v_proj,4,128,1048576,1.1172867743880488e-05,0.014631739517504568,0.01422119140625,0.011417278088629246
model.layers.8.self_attn.o_proj,4,128,2097152,8.699257705302443e-06,0.014196636491917674,0.0242047980427742,0.009850937873125076
model.layers.8.mlp.gate_proj,4,128,3145728,1.5246666104455167e-05,0.014063409603277314,0.058349609375,0.013052728958427906
model.layers.8.mlp.up_proj,4,128,3145728,9.742571516350532e-06,0.014391754442533678,0.0302734375,0.010628029704093933
model.layers.8.mlp.down_proj,4,128,3145728,9.838885792608684e-06,0.01570275629819822,0.0267333984375,0.010591567493975163
model.layers.9.self_attn.q_proj,4,128,2097152,1.3186112482799217e-05,0.014741448557423473,0.025530129671096802,0.01151864044368267
model.layers.9.self_attn.k_proj,4,128,1048576,1.0739640856627375e-05,0.015143156326859948,0.0380859375,0.010543922893702984
model.layers.9.self_attn.v_proj,4,128,1048576,1.1235162673983723e-05,0.015390111651263421,0.024658203125,0.011255715973675251
model.layers.9.self_attn.o_proj,4,128,2097152,9.037419658852741e-06,0.014348400391614844,0.0249720998108387,0.009907067753374577
model.layers.9.mlp.gate_proj,4,128,3145728,1.616618222518203e-05,0.014185078028607459,0.0322265625,0.013289310969412327
model.layers.9.mlp.up_proj,4,128,3145728,1.0097436946428692e-05,0.014435584161104,0.0179617740213871,0.01078165415674448
model.layers.9.mlp.down_proj,4,128,3145728,9.653265806264244e-06,0.01620219916714223,0.02880859375,0.010471160523593426
model.layers.10.self_attn.q_proj,4,128,2097152,1.2265394616406411e-05,0.014632815878820841,0.0246930792927742,0.011511415243148804
model.layers.10.self_attn.k_proj,4,128,1048576,1.0312700396752916e-05,0.01419225822289133,0.0182756707072258,0.010663874447345734
model.layers.10.self_attn.v_proj,4,128,1048576,1.0634530553943478e-05,0.014602249703478967,0.011858262121677399,0.011125931516289711
model.layers.10.self_attn.o_proj,4,128,2097152,8.646881724416744e-06,0.014301146083635622,0.0227399542927742,0.009783430024981499
model.layers.10.mlp.gate_proj,4,128,3145728,1.6205090408523876e-05,0.014392774310454654,0.0371791273355484,0.013104883022606373
model.layers.10.mlp.up_proj,4,128,3145728,1.0170771323222047e-05,0.01486219102546306,0.0309361033141613,0.010741960257291794
model.layers.10.mlp.down_proj,4,128,3145728,9.597188181942329e-06,0.017184045023708537,0.0274135060608387,0.01040805596858263
model.layers.11.self_attn.q_proj,4,128,2097152,1.4730386283190455e-05,0.015065417395630479,0.03173828125,0.011796250939369202
